Time (ms);Roll (rad);Pitch (rad);Yaw (rad);Sway (mm);Surge (mm);Heave (mm)
0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;0.0;0.0;0.0;0.0;0.0;1.4594456946032432e-12
30.0;0.0;0.0;0.0;0.0;0.0;3.0091384708275125e-12
40.0;0.0;0.0;0.0;0.0;0.0;4.654658896535573e-12
50.0;0.0;0.0;0.0;0.0;0.0;6.401932622634526e-12
60.0;0.0;0.0;0.0;0.0;0.0;8.257251721819528e-12
70.0;0.0;0.0;0.0;0.0;0.0;1.0227297346831742e-11
80.0;0.0;0.0;0.0;0.0;0.0;1.2319163789824707e-11
90.0;0.0;0.0;0.0;0.0;0.0;1.4540384029478815e-11
100.0;0.0;0.0;0.0;0.0;0.0;1.689895685786114e-11
110.0;0.0;0.0;0.0;0.0;0.0;1.940337568471661e-11
120.0;0.0;0.0;0.0;0.0;0.0;2.2062659122917006e-11
130.0;0.0;0.0;0.0;0.0;0.0;2.4886383465208587e-11
140.0;0.0;0.0;0.0;0.0;0.0;2.788471716920958e-11
150.0;0.0;0.0;0.0;0.0;0.0;3.106845747484079e-11
160.0;0.0;0.0;0.0;0.0;0.0;3.444906928605173e-11
170.0;0.0;0.0;0.0;0.0;0.0;3.803872645685839e-11
180.0;0.0;0.0;0.0;0.0;0.0;4.185035563036694e-11
190.0;0.0;0.0;0.0;0.0;0.0;4.589768278865133e-11
200.0;0.0;0.0;0.0;0.0;0.0;5.019528268111458e-11
210.0;0.0;0.0;0.0;0.0;0.0;5.47586313093291e-11
220.0;0.0;0.0;0.0;0.0;0.0;5.960416165735839e-11
230.0;0.0;0.0;0.0;0.0;0.0;6.474932286824941e-11
240.0;0.0;0.0;0.0;0.0;0.0;7.021264307979468e-11
250.0;0.0;0.0;0.0;0.0;0.0;7.601379614584107e-11
260.0;0.0;0.0;0.0;0.0;0.0;8.217367248341381e-11
270.0;0.0;0.0;0.0;0.0;0.0;8.871445430078202e-11
280.0;0.0;0.0;0.0;0.0;0.0;9.5659695477368e-11
290.0;0.0;0.0;0.0;0.0;0.0;1.0303440638315415e-10
300.0;0.0;0.0;0.0;0.0;0.0;1.1086514394302917e-10
310.0;0.0;0.0;0.0;0.0;0.0;1.1918010727040246e-10
320.0;0.0;0.0;0.0;0.0;0.0;1.2800923921447065e-10
330.0;0.0;0.0;0.0;0.0;0.0;1.3738433418681675e-10
340.0;0.0;0.0;0.0;0.0;0.0;1.4733915265563344e-10
350.00000000000006;0.0;0.0;0.0;0.0;0.0;1.5790954271987407e-10
360.0;0.0;0.0;0.0;0.0;0.0;1.6913356920112891e-10
370.0;0.0;0.0;0.0;0.0;0.0;1.8105165071809738e-10
380.0;0.0;0.0;0.0;0.0;0.0;1.9370670523727236e-10
390.0;0.0;0.0;0.0;0.0;0.0;2.0714430462397573e-10
400.0;0.0;0.0;0.0;0.0;0.0;2.2141283875029643e-10
410.00000000000006;0.0;0.0;0.0;0.0;0.0;2.365636897508966e-10
420.0;0.0;0.0;0.0;0.0;0.0;2.526514170541949e-10
430.0;0.0;0.0;0.0;0.0;0.0;2.69733953855239e-10
440.0;0.0;0.0;0.0;0.0;0.0;2.878728157377824e-10
450.0;0.0;0.0;0.0;0.0;0.0;3.071333221968289e-10
460.0;0.0;0.0;0.0;0.0;0.0;3.2758483185936737e-10
470.00000000000006;0.0;0.0;0.0;0.0;0.0;3.493009922503432e-10
480.0;0.0;0.0;0.0;0.0;0.0;3.7236000500329556e-10
490.0;0.0;0.0;0.0;0.0;0.0;3.968449074707039e-10
500.0;0.0;0.0;0.0;0.0;0.0;4.2284387174814627e-10
510.0;0.0;0.0;0.0;0.0;0.0;4.504505221890773e-10
520.0;0.0;0.0;0.0;0.0;0.0;4.797642725536247e-10
530.0;0.0;0.0;0.0;0.0;0.0;5.108906840055027e-10
540.0;0.0;0.0;0.0;0.0;0.0;5.439418452462168e-10
550.0;0.0;0.0;0.0;0.0;0.0;5.79036776155456e-10
560.0;0.0;0.0;0.0;0.0;0.0;6.163018563912121e-10
570.0000000000001;0.0;0.0;0.0;0.0;0.0;6.558712804930493e-10
580.0;0.0;0.0;0.0;0.0;0.0;6.97887541127389e-10
590.0;0.0;0.0;0.0;0.0;0.0;7.425019422150117e-10
600.0;0.0;0.0;0.0;0.0;0.0;7.898751437885947e-10
610.0;0.0;0.0;0.0;0.0;0.0;8.401777405423522e-10
620.0;0.0;0.0;0.0;0.0;0.0;8.935908761571914e-10
630.0;0.0;0.0;0.0;0.0;0.0;9.503068956136114e-10
640.0;0.0;0.0;0.0;0.0;0.0;1.0105300378413785e-09
650.0;0.0;0.0;0.0;0.0;0.0;1.0744771712002645e-09
660.0;0.0;0.0;0.0;0.0;0.0;1.1423785744403731e-09
670.0;0.0;0.0;0.0;0.0;0.0;1.214478765954354e-09
680.0;0.0;0.0;0.0;0.0;0.0;1.291037384307708e-09
690.0000000000001;0.0;0.0;0.0;0.0;0.0;1.372330123218046e-09
700.0000000000001;0.0;0.0;0.0;0.0;0.0;1.4586497243502313e-09
710.0;0.0;0.0;0.0;0.0;0.0;1.5503070315025457e-09
720.0;0.0;0.0;0.0;0.0;0.0;1.6476321099800824e-09
730.0;0.0;0.0;0.0;0.0;0.0;1.7509754351863271e-09
740.0;0.0;0.0;0.0;0.0;0.0;1.8607091547131232e-09
750.0;0.0;0.0;0.0;0.0;0.0;1.977228428473931e-09
760.0;0.0;0.0;0.0;0.0;0.0;2.1009528517062866e-09
770.0;0.0;0.0;0.0;0.0;0.0;2.2323279659678206e-09
780.0;0.0;0.0;0.0;0.0;0.0;2.3718268635670424e-09
790.0;0.0;0.0;0.0;0.0;0.0;2.519951891206581e-09
800.0;0.0;0.0;0.0;0.0;0.0;2.677236458973833e-09
810.0;0.0;0.0;0.0;0.0;0.0;2.8442469611933355e-09
820.0000000000001;0.0;0.0;0.0;0.0;0.0;3.021584816058017e-09
830.0000000000001;0.0;0.0;0.0;0.0;0.0;3.2098886313841783e-09
840.0;0.0;0.0;0.0;0.0;0.0;3.4098365042892834e-09
850.0;0.0;0.0;0.0;0.0;0.0;3.622148463073864e-09
860.0;0.0;0.0;0.0;0.0;0.0;3.847589060100969e-09
870.0;0.0;0.0;0.0;0.0;0.0;4.0869701250102864e-09
880.0;0.0;0.0;0.0;0.0;0.0;4.3411536881815205e-09
890.0;0.0;0.0;0.0;0.0;0.0;4.61105508497463e-09
900.0;0.0;0.0;0.0;0.0;0.0;4.897646251925528e-09
910.0;0.0;0.0;0.0;0.0;0.0;5.201959226767133e-09
920.0;0.0;0.0;0.0;0.0;0.0;5.525089864879593e-09
930.0;0.0;0.0;0.0;0.0;0.0;5.86820178555294e-09
940.0000000000001;0.0;0.0;0.0;0.0;0.0;6.232530562272955e-09
950.0000000000001;0.0;0.0;0.0;0.0;0.0;6.619388172119811e-09
960.0;0.0;0.0;0.0;0.0;0.0;7.03016772030211e-09
970.0;0.0;0.0;0.0;0.0;0.0;7.46634845683974e-09
980.0;0.0;0.0;0.0;0.0;0.0;7.92950110346105e-09
990.0;0.0;0.0;0.0;0.0;0.0;8.421293509896833e-09
1000.0;0.0;0.0;0.0;0.0;0.0;8.943496659939974e-09
1010.0;0.0;0.0;0.0;0.0;0.0;9.497991048898988e-09
