Time (ms);Roll (rad);Pitch (rad);Yaw (rad);Sway (mm);Surge (mm);Heave (mm)
0.0;0.0;0.0;0.0;0.0;0.0;0.0
10.0;0.0;0.0;0.0;0.0;0.0;0.0
20.0;0.0;0.0;1.151179569225436e-18;0.0;0.0;0.0
30.0;0.0;0.0;2.3982375091389793e-18;0.0;0.0;0.0
40.0;0.0;0.0;3.749159248088694e-18;0.0;0.0;0.0
50.0;0.0;0.0;5.212595297333886e-18;0.0;0.0;0.0
60.0;0.0;0.0;6.7979166438505335e-18;0.0;0.0;0.0
70.0;0.0;0.0;8.515274756641066e-18;0.0;0.0;0.0
80.0;0.0;0.0;1.0375666590793722e-17;0.0;0.0;0.0
90.0;0.0;0.0;1.2391005005539383e-17;0.0;0.0;0.0
100.0;0.0;0.0;1.457419504722191e-17;0.0;0.0;0.0
110.0;0.0;0.0;1.693921658565334e-17;0.0;0.0;0.0
120.0;0.0;0.0;1.9501213833008834e-17;0.0;0.0;0.0
130.0;0.0;0.0;2.2276592318487878e-17;0.0;0.0;0.0
140.0;0.0;0.0;2.5283123939710635e-17;0.0;0.0;0.0
150.0;0.0;0.0;2.8540060763537064e-17;0.0;0.0;0.0
160.0;0.0;0.0;3.206825830502257e-17;0.0;0.0;0.0
170.0;0.0;0.0;3.58903090739164e-17;0.0;0.0;0.0
180.0;0.0;0.0;4.00306872438562e-17;0.0;0.0;0.0
190.0;0.0;0.0;4.451590537063567e-17;0.0;0.0;0.0
200.0;0.0;0.0;4.937468416307717e-17;0.0;0.0;0.0
210.0;0.0;0.0;5.4638136393622366e-17;0.0;0.0;0.0
220.0;0.0;0.0;6.033996612629685e-17;0.0;0.0;0.0
230.0;0.0;0.0;6.651668453778767e-17;0.0;0.0;0.0
240.0;0.0;0.0;7.320784371362546e-17;0.0;0.0;0.0
250.0;0.0;0.0;8.045628991656507e-17;0.0;0.0;0.0
260.0;0.0;0.0;8.830843794894721e-17;0.0;0.0;0.0
270.0;0.0;0.0;9.681456836589606e-17;0.0;0.0;0.0
280.0;0.0;0.0;1.0602914944253328e-16;0.0;0.0;0.0
290.0;0.0;0.0;1.1601118595689673e-16;0.0;0.0;0.0
300.0;0.0;0.0;1.268245970219657e-16;0.0;0.0;0.0
310.0;0.0;0.0;1.3853862538620814e-16;0.0;0.0;0.0
320.0;0.0;0.0;1.5122828082356946e-16;0.0;0.0;0.0
330.0;0.0;0.0;1.6497482045211402e-16;0.0;0.0;0.0
340.0;0.0;0.0;1.798662690569975e-16;0.0;0.0;0.0
350.00000000000006;0.0;0.0;1.9599798274961386e-16;0.0;0.0;0.0
360.0;0.0;0.0;2.1347325957225995e-16;0.0;0.0;0.0
370.0;0.0;0.0;2.3240400095827195e-16;0.0;0.0;0.0
380.0;0.0;0.0;2.5291142828323765e-16;0.0;0.0;0.0
390.0;0.0;0.0;2.7512685909565663e-16;0.0;0.0;0.0
400.0;0.0;0.0;2.991925479975774e-16;0.0;0.0;0.0
410.00000000000006;0.0;0.0;3.252625975597163e-16;0.0;0.0;0.0
420.0;0.0;0.0;3.535039451040259e-16;0.0;0.0;0.0
430.0;0.0;0.0;3.840974316724895e-16;0.0;0.0;0.0
440.0;0.0;0.0;4.172389600271928e-16;0.0;0.0;0.0
450.0;0.0;0.0;4.531407490968247e-16;0.0;0.0;0.0
460.0;0.0;0.0;4.920326929023499e-16;0.0;0.0;0.0
470.00000000000006;0.0;0.0;5.341638326636149e-16;0.0;0.0;0.0
480.0;0.0;0.0;5.798039515133977e-16;0.0;0.0;0.0
490.0;0.0;0.0;6.29245302030513e-16;0.0;0.0;0.0
500.0;0.0;0.0;6.828044776540865e-16;0.0;0.0;0.0
510.0;0.0;0.0;7.408244399624325e-16;0.0;0.0;0.0
520.0;0.0;0.0;8.036767147980488e-16;0.0;0.0;0.0
530.0;0.0;0.0;8.7176377130142e-16;0.0;0.0;0.0
540.0;0.0;0.0;9.455215990875717e-16;0.0;0.0;0.0
550.0;0.0;0.0;1.0254225000681007e-15;0.0;0.0;0.0
560.0;0.0;0.0;1.1119781127958786e-15;0.0;0.0;0.0
570.0000000000001;0.0;0.0;1.2057426886985547e-15;0.0;0.0;0.0
580.0;0.0;0.0;1.3073166411799418e-15;0.0;0.0;0.0
590.0;0.0;0.0;1.4173503903156473e-15;0.0;0.0;0.0
600.0;0.0;0.0;1.5365485277621363e-15;0.0;0.0;0.0
610.0;0.0;0.0;1.6656743285488453e-15;0.0;0.0;0.0
620.0;0.0;0.0;1.805554638644243e-15;0.0;0.0;0.0
630.0;0.0;0.0;1.95708516959293e-15;0.0;0.0;0.0
640.0;0.0;0.0;2.1212362341275388e-15;0.0;0.0;0.0
650.0;0.0;0.0;2.2990589594829298e-15;0.0;0.0;0.0
660.0;0.0;0.0;2.4916920181991084e-15;0.0;0.0;0.0
670.0;0.0;0.0;2.7003689195129773e-15;0.0;0.0;0.0
680.0;0.0;0.0;2.92642590802873e-15;0.0;0.0;0.0
690.0000000000001;0.0;0.0;3.1713105202453387e-15;0.0;0.0;0.0
700.0000000000001;0.0;0.0;3.4365908537321257e-15;0.0;0.0;0.0
710.0;0.0;0.0;3.723965608306789e-15;0.0;0.0;0.0
720.0;0.0;0.0;4.035274963513699e-15;0.0;0.0;0.0
730.0;0.0;0.0;4.372512362055478e-15;0.0;0.0;0.0
740.0;0.0;0.0;4.737837274632015e-15;0.0;0.0;0.0
750.0;0.0;0.0;5.133589027925524e-15;0.0;0.0;0.0
760.0;0.0;0.0;5.562301784277911e-15;0.0;0.0;0.0
770.0;0.0;0.0;6.026720768981546e-15;0.0;0.0;0.0
780.0;0.0;0.0;6.529819849093505e-15;0.0;0.0;0.0
790.0;0.0;0.0;7.0748205763376974e-15;0.0;0.0;0.0
800.0;0.0;0.0;7.665212816034471e-15;0.0;0.0;0.0
810.0;0.0;0.0;8.304777094153277e-15;0.0;0.0;0.0
820.0000000000001;0.0;0.0;8.997608805585827e-15;0.0;0.0;0.0
830.0000000000001;0.0;0.0;9.748144438655323e-15;0.0;0.0;0.0
840.0;0.0;0.0;1.056118998378816e-14;0.0;0.0;0.0
850.0;0.0;0.0;1.1441951708260604e-14;0.0;0.0;0.0
860.0;0.0;0.0;1.2396069494083906e-14;0.0;0.0;0.0
870.0;0.0;0.0;1.3429652952504012e-14;0.0;0.0;0.0
880.0;0.0;0.0;1.4549320546372164e-14;0.0;0.0;0.0
890.0;0.0;0.0;1.5762241970902974e-14;0.0;0.0;0.0
900.0;0.0;0.0;1.7076184064201565e-14;0.0;0.0;0.0
910.0;0.0;0.0;1.8499560541543905e-14;0.0;0.0;0.0
920.0;0.0;0.0;2.0041485871879503e-14;0.0;0.0;0.0
930.0;0.0;0.0;2.1711833641550034e-14;0.0;0.0;0.0
940.0000000000001;0.0;0.0;2.352129977895094e-14;0.0;0.0;0.0
950.0000000000001;0.0;0.0;2.5481471044989712e-14;0.0;0.0;0.0
960.0;0.0;0.0;2.7604899227913583e-14;0.0;0.0;0.0
970.0;0.0;0.0;2.9905181517606853e-14;0.0;0.0;0.0
980.0;0.0;0.0;3.239704757402786e-14;0.0;0.0;0.0
990.0;0.0;0.0;3.509645384732051e-14;0.0;0.0;0.0
1000.0;0.0;0.0;3.802068575357155e-14;0.0;0.0;0.0
1010.0;0.0;0.0;4.118846836048694e-14;0.0;0.0;0.0
