time;Yaw;Pitch;Roll
0,009;-158,453;-6,553;-0,481
0,031;-161,085;-4,572;0,276
0,031;-164,776;-4,340;2,337
0,032;-157,675;-5,980;-1,181
0,060;-159,470;-5,980;-1,181
0,090;-157,684;-5,390;-2,493
0,091;-161,789;-4,305;-0,440
0,092;-162,994;-3,397;-0,017
0,120;-164,402;-3,397;-0,017
0,151;-164,069;-5,079;0,280
0,152;-162,293;-6,448;-0,305
0,152;-162,997;-6,085;-0,024
0,182;-160,199;-6,085;-0,024
0,208;-159,018;-6,161;-0,696
0,209;-160,000;-6,109;-0,132
0,210;-159,069;-6,291;-0,612
0,240;-159,672;-6,291;-0,612
0,262;-160,000;-5,617;-0,685
0,262;-159,090;-5,714;-1,186
0,262;-159,940;-5,276;-0,853
0,300;-160,671;-5,276;-0,853
0,313;-162,263;-4,901;-0,093
0,314;-163,352;-5,318;0,641
0,360;-161,117;-5,318;0,641
0,388;-160,465;-5,925;0,481
0,389;-160,217;-5,132;0,032
0,390;-160,134;-4,104;-0,410
0,390;-159,198;-4,765;-0,738
0,418;-159,332;-4,765;-0,738
0,451;-159,027;-5,458;-0,644
0,452;-160,267;-5,667;0,170
0,453;-159,923;-4,414;-0,515
0,477;-159,116;-4,414;-0,515
0,492;-161,551;-3,496;0,649
0,492;-158,446;-2,837;-1,583
0,492;-161,572;-3,977;0,829
0,539;-158,954;-3,977;0,829
0,555;-157,456;-5,242;0,392
0,556;-157,566;-5,163;0,428
0,558;-158,648;-5,485;1,251
0,598;-160,395;-5,485;1,251
0,609;-160,792;-5,915;1,641
0,611;-163,903;-6,218;3,467
0,613;-165,424;-6,557;4,374
0,656;-162,955;-6,557;4,374
0,674;-159,840;-5,735;2,375
0,675;-156,833;-4,611;0,112
0,677;-153,316;-5,467;-1,703
0,719;-153,552;-5,467;-1,703
0,723;-157,171;-4,632;0,212
0,726;-159,163;-3,848;1,129
0,728;-158,599;-3,710;0,719
0,776;-161,820;-3,710;0,719
0,783;-163,447;-3,051;1,518
0,786;-163,869;-3,349;1,869
0,789;-161,791;-3,401;0,596
0,835;-159,708;-3,401;0,596
0,838;-159,574;-2,986;0,351
0,839;-160,578;-3,101;1,032
0,840;-161,504;-4,097;1,959
0,897;-164,661;-4,097;1,959
0,899;-163,574;-3,147;1,040
0,900;-162,381;-2,813;0,211
0,901;-160,272;-3,074;-1,009
0,955;-162,349;-3,074;-1,009
0,957;-161,558;-2,971;-1,527
0,958;-160,652;-2,952;-2,095
0,959;-158,500;-3,901;-3,073
1,018;-160,611;-3,215;-2,025
1,019;-159,534;-3,491;-2,591
1,021;-157,214;-3,050;-4,260
1,022;-161,969;-3,050;-4,260
1,072;-162,443;-3,027;-3,978
1,074;-160,954;-3,193;-4,834
1,076;-156,891;-3,475;-7,300
1,077;-160,126;-3,475;-7,300
1,132;-158,805;-3,576;-8,084
1,133;-159,337;-3,585;-7,747
1,135;-159,452;-3,896;-7,554
