Time [s];Sway Acc [m/s2];Surge Acc [m/s2];Heave Acc[m/s2]
0.000000;0.339800;-0.203870;0.154630
0.000500;0.301110;-0.209280;0.193370
0.001000;0.257630;-0.206880;0.224900
0.001500;0.178680;-0.186430;0.265040
0.002000;0.101060;-0.187770;0.301490
0.002500;0.035742;-0.184480;0.342770
0.003000;-0.029916;-0.179830;0.362630
0.003500;-0.092435;-0.170460;0.385350
0.004000;-0.132390;-0.179260;0.395450
0.004500;-0.131640;-0.192620;0.416950
0.005000;-0.123450;-0.204530;0.435670
0.005500;-0.124910;-0.215730;0.459570
0.006000;-0.109510;-0.235310;0.481160
0.006500;-0.078857;-0.258590;0.502580
0.007000;-0.063616;-0.268550;0.528690
0.007500;-0.057816;-0.270840;0.557770
0.008000;-0.054188;-0.266730;0.582510
0.008500;-0.050287;-0.274080;0.613410
0.009000;-0.074979;-0.265400;0.664020
0.009500;-0.108840;-0.242580;0.703430
0.010000;-0.129820;-0.238410;0.743760
0.010500;-0.168350;-0.236230;0.783940
0.011000;-0.217310;-0.232160;0.818580
0.011500;-0.273060;-0.231750;0.856670
0.012000;-0.311410;-0.240080;0.880660
0.012500;-0.337860;-0.256760;0.899530
0.013000;-0.348140;-0.274920;0.913070
0.013500;-0.348560;-0.300440;0.919340
0.014000;-0.326420;-0.329920;0.926040
0.014500;-0.274440;-0.365920;0.946130
0.015000;-0.233750;-0.388000;0.964390
0.015500;-0.188610;-0.404000;0.979100
0.016000;-0.123700;-0.420540;0.977050
0.016500;-0.079006;-0.436250;0.972510
0.017000;-0.048569;-0.441520;0.964970
0.017500;-0.014867;-0.444820;0.958370
0.018000;0.021119;-0.453710;0.951280
0.018500;0.042854;-0.461620;0.941510
0.019000;0.060877;-0.465440;0.907820
0.019500;0.067372;-0.467060;0.869180
0.020000;0.064425;-0.466500;0.838940
0.020500;0.056269;-0.469260;0.812920
0.021000;0.023411;-0.462280;0.810980
0.021500;-0.005717;-0.455950;0.799880
0.022000;-0.039629;-0.443440;0.806620
0.022500;-0.059892;-0.464720;0.791970
0.023000;-0.087595;-0.462150;0.780010
0.023500;-0.112080;-0.472450;0.760510
0.024000;-0.158040;-0.459980;0.757440
0.024500;-0.206740;-0.448890;0.738540
0.025000;-0.218030;-0.457580;0.728960
0.025500;-0.220680;-0.455320;0.695530
0.026000;-0.218650;-0.453370;0.672310
0.026500;-0.193680;-0.460530;0.651370
0.027000;-0.152650;-0.454230;0.632260
0.027500;-0.123700;-0.439000;0.605390
0.028000;-0.084534;-0.423000;0.593740
0.028500;-0.040678;-0.410290;0.577010
0.029000;0.008215;-0.387760;0.559610
0.029500;0.056242;-0.368700;0.534760
0.030000;0.103130;-0.357070;0.506440
0.030500;0.144340;-0.356890;0.485260
0.031000;0.181180;-0.365930;0.455800
0.031500;0.179490;-0.358930;0.436180
0.032000;0.147620;-0.353760;0.398490
0.032500;0.102230;-0.357480;0.368860
0.033000;0.020429;-0.352460;0.346780
0.033500;-0.064059;-0.355170;0.337020
0.034000;-0.153280;-0.366720;0.338840
0.034500;-0.247040;-0.374080;0.358540
0.035000;-0.327880;-0.377310;0.387010
0.035500;-0.395050;-0.371830;0.397550
0.036000;-0.465270;-0.357930;0.402170
0.036500;-0.490860;-0.353930;0.402340
0.037000;-0.478620;-0.356550;0.387250
0.037500;-0.463710;-0.352020;0.360690
0.038000;-0.424130;-0.344880;0.317470
0.038500;-0.355130;-0.349600;0.254070
0.039000;-0.275420;-0.347750;0.192810
0.039500;-0.202930;-0.338250;0.133290
0.040000;-0.129390;-0.324230;0.087838
0.040500;-0.034018;-0.309730;0.047082
0.041000;0.045854;-0.290510;0.023115
0.041500;0.096536;-0.266720;-0.009955
0.042000;0.144510;-0.245080;-0.040156
0.042500;0.181970;-0.243570;-0.061282
0.043000;0.194320;-0.242180;-0.058436
0.043500;0.180060;-0.233750;-0.047652
0.044000;0.149320;-0.228890;-0.047747
0.044500;0.109550;-0.229010;-0.054453
0.045000;0.077754;-0.241760;-0.063512
0.045500;0.038585;-0.258310;-0.060588
0.046000;0.019252;-0.272270;-0.060451
0.046500;0.015844;-0.288920;-0.053855
0.047000;0.025422;-0.307690;-0.045592
0.047500;0.042156;-0.325790;-0.030954
0.048000;0.074653;-0.339560;-0.018700
0.048500;0.126400;-0.352480;0.000745
0.049000;0.184080;-0.363700;0.032311
0.049500;0.230450;-0.357450;0.052519
0.050000;0.281440;-0.351060;0.059772
0.050500;0.341380;-0.351030;0.062751
0.051000;0.379200;-0.356060;0.050269
0.051500;0.398670;-0.344800;0.045868
0.052000;0.409570;-0.340120;0.036059
0.052500;0.389310;-0.342070;0.016237
0.053000;0.339370;-0.344580;0.005564
0.053500;0.285290;-0.335640;-0.019189
0.054000;0.213450;-0.329810;-0.049922
0.054500;0.141670;-0.339060;-0.059883
0.055000;0.077163;-0.352540;-0.051008
0.055500;0.012070;-0.348240;-0.043435
0.056000;-0.039907;-0.359140;-0.033710
0.056500;-0.070503;-0.370460;-0.015596
0.057000;-0.080011;-0.371960;-0.015236
0.057500;-0.087052;-0.360880;-0.010229
0.058000;-0.073955;-0.368440;-0.006293
0.058500;-0.056982;-0.361790;-0.011396
0.059000;-0.040010;-0.363940;-0.028050
0.059500;-0.018608;-0.374360;-0.029300
0.060000;-0.015413;-0.377190;-0.016152
0.060500;-0.031635;-0.380700;-0.013764
0.061000;-0.054748;-0.389240;-0.016001
0.061500;-0.088182;-0.402290;-0.015626
0.062000;-0.124070;-0.418360;-0.018131
0.062500;-0.146110;-0.431780;-0.007578
0.063000;-0.152660;-0.449950;-0.009922
0.063500;-0.159470;-0.465400;-0.018774
0.064000;-0.148500;-0.494220;-0.011899
0.064500;-0.142140;-0.515450;-0.004394
0.065000;-0.131670;-0.513960;0.007536
0.065500;-0.103510;-0.521760;0.013149
0.066000;-0.089069;-0.504170;0.026808
0.066500;-0.071951;-0.498450;0.022045
0.067000;-0.022572;-0.498260;0.021094
0.067500;0.054931;-0.502540;-0.001119
0.068000;0.126990;-0.499970;-0.036764
0.068500;0.202760;-0.499070;-0.084949
0.069000;0.275590;-0.502990;-0.125390
0.069500;0.303110;-0.502460;-0.156700
0.070000;0.321330;-0.500730;-0.178710
0.070500;0.324080;-0.501730;-0.188220
0.071000;0.293500;-0.495470;-0.202510
0.071500;0.263570;-0.490320;-0.194390
0.072000;0.234340;-0.493950;-0.174940
0.072500;0.195000;-0.483260;-0.132360
0.073000;0.152410;-0.473360;-0.093707
0.073500;0.113570;-0.459810;-0.041169
0.074000;0.074080;-0.446500;0.004507
0.074500;0.046044;-0.435920;0.056724
0.075000;0.003893;-0.405270;0.119420
0.075500;-0.011756;-0.387090;0.177310
0.076000;-0.015240;-0.381260;0.231000
0.076500;-0.014574;-0.360470;0.268290
0.077000;-0.005401;-0.340630;0.276450
0.077500;-0.007278;-0.312370;0.258820
0.078000;-0.014525;-0.289900;0.227360
0.078500;0.000839;-0.284400;0.200820
0.079000;-0.000557;-0.273290;0.170140
0.079500;-0.017656;-0.260910;0.143700
0.080000;-0.046580;-0.258550;0.130240
0.080500;-0.068452;-0.265330;0.136290
0.081000;-0.106750;-0.270210;0.172380
0.081500;-0.133720;-0.282490;0.223490
0.082000;-0.169570;-0.280630;0.277810
0.082500;-0.199800;-0.280150;0.323520
0.083000;-0.218550;-0.280910;0.376120
0.083500;-0.243660;-0.267820;0.425510
0.084000;-0.268290;-0.256630;0.485040
0.084500;-0.270560;-0.240860;0.535150
0.085000;-0.282610;-0.218090;0.574920
0.085500;-0.293730;-0.188880;0.601730
0.086000;-0.291360;-0.160720;0.606920
0.086500;-0.276120;-0.143660;0.616130
0.087000;-0.236870;-0.132340;0.617260
0.087500;-0.187640;-0.119960;0.610470
0.088000;-0.133440;-0.112880;0.595070
0.088500;-0.070650;-0.117240;0.580820
0.089000;-0.003424;-0.124110;0.575690
0.089500;0.039889;-0.129630;0.557870
0.090000;0.088807;-0.134770;0.526280
0.090500;0.137410;-0.144010;0.495280
