# Demo data
Time (s),Latitude (m),Longitude (m),Altitude (m),Speed (m/s)
8960.997778,47.590549,12.975596,738.340,0.000
8961.053333,47.590548,12.975597,738.341,0.640
8961.108889,47.590547,12.975599,738.339,0.688
8961.164444,47.590548,12.975599,738.335,0.667
8961.220000,47.590549,12.975599,738.311,0.618
8961.275556,47.590550,12.975599,738.261,0.578
8961.331111,47.590549,12.975601,738.220,0.623
8961.386667,47.590549,12.975602,738.168,0.662
8961.442222,47.590550,12.975603,738.109,0.700
8961.497778,47.590550,12.975604,738.065,0.749
8961.553333,47.590551,12.975605,738.026,0.797
8961.608889,47.590551,12.975607,737.984,0.830
8961.664444,47.590549,12.975609,737.940,0.906
8961.710000,47.590548,12.975611,737.900,0.968
8961.765556,47.590546,12.975613,737.868,1.009
8961.821111,47.590543,12.975615,737.821,0.999
8961.876667,47.590544,12.975614,737.843,0.939
8961.932222,47.590546,12.975614,737.912,0.930
8961.987778,47.590548,12.975614,737.976,0.935
8962.043333,47.590551,12.975614,738.042,0.926
8962.098889,47.590554,12.975614,738.127,0.962
8962.154444,47.590557,12.975614,738.214,0.992
8962.210000,47.590560,12.975615,738.317,0.994
8962.265556,47.590561,12.975615,738.383,0.975
8962.321111,47.590561,12.975615,738.458,0.936
8962.376667,47.590561,12.975616,738.436,0.875
8962.432222,47.590561,12.975616,738.413,0.827
8962.487778,47.590561,12.975618,738.400,0.903
8962.543333,47.590562,12.975619,738.399,0.924
8962.598889,47.590564,12.975620,738.429,0.942
8962.654444,47.590565,12.975620,738.463,0.952
8962.710000,47.590566,12.975622,738.489,1.087
8962.755000,47.590567,12.975624,738.520,1.188
8962.810556,47.590568,12.975626,738.552,1.276
8962.866111,47.590569,12.975628,738.575,1.389
8962.921667,47.590570,12.975631,738.529,1.575
8962.977222,47.590570,12.975634,738.481,1.714
8963.032778,47.590569,12.975637,738.376,1.851
8963.088333,47.590571,12.975639,738.283,1.967
8963.143889,47.590573,12.975641,738.191,2.057
8963.199445,47.590575,12.975643,738.228,2.203
8963.255000,47.590577,12.975645,738.279,2.240
8963.310556,47.590578,12.975647,738.335,2.249
8963.366111,47.590580,12.975649,738.368,2.376
8963.421667,47.590582,12.975651,738.417,2.488
8963.477222,47.590583,12.975653,738.481,2.531
8963.532778,47.590585,12.975655,738.475,2.602
8963.588333,47.590587,12.975657,738.464,2.688
8963.643889,47.590588,12.975659,738.459,2.724
8963.690000,47.590588,12.975662,738.457,2.765
8963.745556,47.590590,12.975665,738.394,2.917
8963.801111,47.590590,12.975668,738.324,3.035
8963.856667,47.590591,12.975671,738.354,3.038
8963.912222,47.590592,12.975674,738.386,3.047
8963.967778,47.590592,12.975677,738.407,3.090
8964.023333,47.590592,12.975681,738.479,3.151
8964.078889,47.590591,12.975685,738.466,3.219
8964.134444,47.590591,12.975688,738.455,3.289
8964.190000,47.590590,12.975692,738.519,3.341
8964.245556,47.590589,12.975696,738.578,3.396
8964.301111,47.590588,12.975700,738.548,3.494
8964.356667,47.590591,12.975703,738.505,3.660
8964.412222,47.590593,12.975706,738.508,3.747
8964.467778,47.590595,12.975709,738.530,3.740
8964.523333,47.590595,12.975712,738.534,3.732
8964.578889,47.590596,12.975715,738.533,3.731
8964.634444,47.590595,12.975719,738.535,3.735
8964.680000,47.590595,12.975722,738.587,3.738
8964.735556,47.590597,12.975725,738.588,3.734
8964.791111,47.590599,12.975728,738.533,3.783
8964.846667,47.590601,12.975730,738.487,3.767
8964.902222,47.590602,12.975733,738.379,3.752
8964.957778,47.590604,12.975736,738.206,3.792
8965.013333,47.590603,12.975740,737.999,3.812
8965.068889,47.590600,12.975744,737.842,3.770
8965.124444,47.590597,12.975749,737.697,3.797
8965.180000,47.590597,12.975751,737.570,3.706
8965.235556,47.590596,12.975754,737.343,3.626
8965.291111,47.590595,12.975756,737.101,3.543
8965.346667,47.590596,12.975758,736.938,3.457
8965.402222,47.590597,12.975759,737.015,3.400
8965.457778,47.590598,12.975760,737.068,3.314
8965.513333,47.590599,12.975761,737.066,3.249
8965.568889,47.590600,12.975762,737.075,3.158
8965.624444,47.590601,12.975763,737.029,3.034
8965.670000,47.590601,12.975764,736.958,2.942
8965.725556,47.590601,12.975765,736.936,2.820
8965.781111,47.590601,12.975767,736.861,2.799
8965.836667,47.590600,12.975770,736.782,2.790
8965.892222,47.590599,12.975772,736.674,2.786
8965.947778,47.590598,12.975775,736.522,2.836
8966.003333,47.590598,12.975778,736.349,2.856
8966.058889,47.590599,12.975780,736.190,2.874
8966.114444,47.590601,12.975784,736.281,2.934
8966.170000,47.590601,12.975787,736.323,2.989
8966.225556,47.590602,12.975790,736.398,3.040
8966.281111,47.590601,12.975793,736.467,3.125
8966.336667,47.590600,12.975800,736.583,3.340
8966.392222,47.590599,12.975806,736.683,3.563
8966.447778,47.590597,12.975814,736.813,3.852
8966.503333,47.590595,12.975822,736.932,4.138
8966.558889,47.590594,12.975830,737.034,4.424
8966.614444,47.590594,12.975837,737.145,4.648
8966.715000,47.590591,12.975846,737.140,4.956
8966.770555,47.590589,12.975855,737.134,5.246
8966.826111,47.590586,12.975865,737.144,5.528
8966.881667,47.590584,12.975874,737.137,5.768
8966.937222,47.590583,12.975882,737.181,5.975
