Time,Roll (rad),Pitch (rad),Yaw (rad),Heave,Sway,Surge,fkRoll (deg),fkPitch (deg),fkYaw (deg)
2024-06-15 18:46:08.651720,0.4300000071525574,-2.430000066757202,22.5,0.0,0.0,0.0,-0.0003524282656144351,-0.0011115517700091004,-2.4092110834317282e-05,Captured Data
2024-06-15 18:46:08.851954,0.4300000071525574,-2.430000066757202,22.5,0.0,0.0,0.0,-0.0003524282656144351,-0.0011115517700091004,-2.4092110834317282e-05,Captured Data
2024-06-15 18:46:09.052151,-1.3233333826065063,-1.9566667079925537,22.5,0.0,0.0,0.0,-0.0003524282656144351,-0.0011115517700091004,-2.4092110834317282e-05,Captured Data
2024-06-15 18:46:09.252264,-4.829999923706055,-1.0099999904632568,22.5,0.0,0.0,0.0,-0.0003524282656144351,-0.0011115517700091004,-2.4092110834317282e-05,Captured Data
2024-06-15 18:46:09.452378,-7.159999847412109,1.0399999618530273,22.5,0.0,0.0,0.0,-0.0003524282656144351,-0.0011115517700091004,-2.4092110834317282e-05,Captured Data
2024-06-15 18:46:09.652491,-6.929999828338623,1.8233333826065063,22.5,0.0,0.0,0.0,-0.00031736469827592373,0.0004161567776463926,-3.618330811150372e-05,Captured Data
2024-06-15 18:46:09.851774,-6.46999979019165,3.390000104904175,22.5,0.0,0.0,0.0,-0.003119170665740967,0.004588315729051828,0.001537101692520082,Captured Data
2024-06-15 18:46:10.051887,-4.809999942779541,3.799999952316284,22.5,0.0,0.0,0.0,-0.009881573729217052,0.012047527357935905,0.005566953681409359,Captured Data
2024-06-15 18:46:10.252000,-4.328333377838135,3.8350000381469727,22.5,0.0,0.0,0.0,-0.017332861199975014,0.0210303645581007,0.01042149867862463,Captured Data
2024-06-15 18:46:10.452114,-1.9199999570846558,4.010000228881836,22.5,0.0,0.0,0.0,-0.023253418505191803,0.028363198041915894,0.014557145535945892,Captured Data
2024-06-15 18:46:10.652312,-1.9199999570846558,4.010000228881836,22.5,0.0,0.0,0.0,-0.026011629030108452,0.03446757048368454,0.019152497872710228,Captured Data
2024-06-15 18:46:10.852549,-1.3899999856948853,4.296666622161865,22.5,0.0,0.0,0.0,-0.019452111795544624,0.043374381959438324,0.03242957219481468,Captured Data
2024-06-15 18:46:11.052664,1.2599999904632568,5.730000019073486,22.5,0.0,0.0,0.0,-0.016070377081632614,0.04831958934664726,0.05791986361145973,Captured Data
2024-06-15 18:46:11.251863,1.2599999904632568,5.730000019073486,22.5,0.0,0.0,0.0,-0.0050121573731303215,0.05307475104928017,0.09005168825387955,Captured Data
2024-06-15 18:46:11.451979,1.7633333206176758,5.570000171661377,22.5,0.0,0.0,0.0,0.008927314542233944,0.05843105539679527,0.12834231555461884,Captured Data
2024-06-15 18:46:11.652092,2.7699999809265137,5.25,22.5,0.0,0.0,0.0,0.014563056640326977,0.0599704384803772,0.17411968111991882,Captured Data
2024-06-15 18:46:11.852207,1.9700000286102295,3.880000114440918,22.5,0.0,0.0,0.0,0.020630931481719017,0.059109676629304886,0.22491562366485596,Captured Data
2024-06-15 18:46:12.052558,1.6200000047683716,3.448333263397217,22.5,0.0,0.0,0.0,0.0256439670920372,0.05609925091266632,0.27546101808547974,Captured Data
2024-06-15 18:46:12.252671,-0.12999999523162842,1.2899999618530273,22.5,0.0,0.0,0.0,0.028017636388540268,0.053193099796772,0.31783363223075867,Captured Data
2024-06-15 18:46:12.451872,-0.12999999523162842,1.2899999618530273,22.5,0.0,0.0,0.0,0.01843043603003025,0.044543102383613586,0.3495869040489197,Captured Data
2024-06-15 18:46:12.652077,-0.23000000417232513,-0.8799999952316284,22.5,0.0,0.0,0.0,0.005320544820278883,0.02995389886200428,0.36852675676345825,Captured Data
2024-06-15 18:46:12.852189,0.7799999713897705,-1.590000033378601,22.5,0.0,0.0,0.0,-0.0005435550701804459,0.013252205215394497,0.3789876699447632,Captured Data
