Time,Roll (rad),Pitch (rad),Yaw (rad),Heave,Sway,Surge,fkRoll (deg),fkPitch (deg),fkYaw (deg)
2024-05-13 17:16:06.578469,0.1745329201221466,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.583471,0.17444680631160736,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.588472,0.1741885244846344,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.622492,0.1737583428621292,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.672522,0.17315667867660522,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.722554,0.1723841279745102,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.772581,0.1714414656162262,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.822610,0.17032960057258606,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.872641,0.16904965043067932,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.922669,0.16760286688804626,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:06.972700,0.1659906804561615,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:07.022728,0.16421467065811157,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:07.072757,0.16227661073207855,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:07.122787,0.16017839312553406,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:07.172816,0.15792211890220642,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
2024-05-13 17:16:07.222847,0.15550997853279114,0.0,0.0,0.0,0.0,0.0,-0.0004776560817845166,-0.0014130155323073268,-4.368211011751555e-05,Generated Data
