Time,Roll (rad),Pitch (rad),Yaw (rad),Heave,Sway,Surge,fkRoll (deg),fkPitch (deg),fkYaw (deg)
2024-05-13 17:28:22.527745,0.0,0.0,0.2617993950843811,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.532748,0.0,0.0,0.26167020201683044,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.575773,0.0,0.0,0.2612827718257904,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.625803,0.0,0.0,0.2606375217437744,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.675809,0.0,0.0,0.25973501801490784,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.725838,0.0,0.0,0.2585762143135071,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.775867,0.0,0.0,0.2571622133255005,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.825899,0.0,0.0,0.2554944157600403,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.875929,0.0,0.0,0.2535744905471802,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.925955,0.0,0.0,0.2514042854309082,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:22.975986,0.0,0.0,0.24898602068424225,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.026015,0.0,0.0,0.24632200598716736,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.076046,0.0,0.0,0.24341490864753723,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.126077,0.0,0.0,0.24026760458946228,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.176103,0.0,0.0,0.23688316345214844,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.226134,0.0,0.0,0.2332649677991867,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.276165,0.0,0.0,0.22941654920578003,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.326193,0.0,0.0,0.22534173727035522,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.376221,0.0,0.0,0.22104454040527344,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.426251,0.0,0.0,0.21652919054031372,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.476281,0.0,0.0,0.21180015802383423,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.526310,0.0,0.0,0.20686209201812744,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.576340,0.0,0.0,0.20171989500522614,0.0,0.0,0.0,-0.00047426336095668375,-0.0013797696446999907,-0.00010697686957428232,Generated Data
2024-05-13 17:28:23.626370,0.0,0.0,0.19637861847877502,0.0,0.0,0.0,-0.0004742769815493375,-0.0013868805253878236,-0.00010699762060539797,Generated Data
2024-05-13 17:28:23.676398,0.0,0.0,0.19084353744983673,0.0,0.0,0.0,-0.0007969989674165845,-0.0008817562484182417,-3.9099628338590264e-05,Generated Data
2024-05-13 17:28:23.726431,0.0,0.0,0.1851201206445694,0.0,0.0,0.0,-0.0006918159779161215,-0.0002904594293795526,-0.00016831241373438388,Generated Data
2024-05-13 17:28:23.776457,0.0,0.0,0.1792140156030655,0.0,0.0,0.0,-0.0005045591969974339,-4.4194770453032106e-05,-1.0173102964472491e-06,Generated Data
2024-05-13 17:28:23.826487,0.0,0.0,0.1731310486793518,0.0,0.0,0.0,-0.000355023454176262,0.0005114336381666362,-0.0001472461299272254,Generated Data
2024-05-13 17:28:23.876518,0.0,0.0,0.16687721014022827,0.0,0.0,0.0,-0.00033905659802258015,0.0008317895699292421,-0.00012838796828873456,Generated Data
2024-05-13 17:28:23.926545,0.0,0.0,0.16045869886875153,0.0,0.0,0.0,-0.00036810903111472726,0.0014584384625777602,-0.00021157525770831853,Generated Data
2024-05-13 17:28:23.976575,0.0,0.0,0.15388181805610657,0.0,0.0,0.0,-0.00032465538242831826,0.001866754493676126,-5.921451156609692e-05,Generated Data
2024-05-13 17:28:24.026608,0.0,0.0,0.1471530795097351,0.0,0.0,0.0,-0.00017945541185326874,0.0020084779243916273,-1.3235095138952602e-05,Generated Data
2024-05-13 17:28:24.076634,0.0,0.0,0.1402791291475296,0.0,0.0,0.0,-3.201491927029565e-05,0.0024277910124510527,-1.3401153410086408e-05,Generated Data
2024-05-13 17:28:24.126664,0.0,0.0,0.13326673209667206,0.0,0.0,0.0,6.006764306221157e-05,0.0027441259007900953,-8.797647024039179e-05,Generated Data
2024-05-13 17:28:24.176693,0.0,0.0,0.12612281739711761,0.0,0.0,0.0,8.731552952667698e-05,0.003051037434488535,-4.6420875150943175e-05,Generated Data
2024-05-13 17:28:24.225723,0.0,0.0,0.11885443329811096,0.0,0.0,0.0,0.00022503956279251724,0.003782327054068446,0.00011932795314351097,Generated Data
2024-05-13 17:28:24.275752,0.0,0.0,0.11146875470876694,0.0,0.0,0.0,0.00025236187502741814,0.004034042824059725,6.523348565679044e-05,Generated Data
2024-05-13 17:28:24.325781,0.0,0.0,0.10397307574748993,0.0,0.0,0.0,0.0004302614543121308,0.004454083740711212,0.00010392121475888416,Generated Data
2024-05-13 17:28:24.375827,0.0,0.0,0.09637477993965149,0.0,0.0,0.0,0.00064055499387905,0.004916097968816757,7.723372254986316e-05,Generated Data
2024-05-13 17:28:24.425863,0.0,0.0,0.08868137747049332,0.0,0.0,0.0,0.0006702897953800857,0.005199759267270565,0.00012788827007170767,Generated Data
2024-05-13 17:28:24.475908,0.0,0.0,0.08090046048164368,0.0,0.0,0.0,0.0007371259271167219,0.005592525005340576,0.00018459670536685735,Generated Data
2024-05-13 17:28:24.525937,0.0,0.0,0.0730397030711174,0.0,0.0,0.0,0.0007056758622638881,0.006066866684705019,0.0002831306483130902,Generated Data
2024-05-13 17:28:24.575966,0.0,0.0,0.06510686129331589,0.0,0.0,0.0,0.0007976035121828318,0.00644658412784338,0.00017637356359045953,Generated Data
2024-05-13 17:28:24.626009,0.0,0.0,0.0571097657084465,0.0,0.0,0.0,0.0009368584142066538,0.006761208642274141,0.00013767514610663056,Generated Data
2024-05-13 17:28:24.676049,0.0,0.0,0.049056313931941986,0.0,0.0,0.0,0.0010253009386360645,0.007158432621508837,0.00017449285951443017,Generated Data
2024-05-13 17:28:24.726079,0.0,0.0,0.04095444828271866,0.0,0.0,0.0,0.0009302755352109671,0.007594251073896885,0.00017567191389389336,Generated Data
2024-05-13 17:28:24.776109,0.0,0.0,0.03281216323375702,0.0,0.0,0.0,0.0011129332706332207,0.00815283227711916,0.00018279820505995303,Generated Data
2024-05-13 17:28:24.826140,0.0,0.0,0.02463749796152115,0.0,0.0,0.0,0.0010385516798123717,0.008452195674180984,0.0002707383828237653,Generated Data
2024-05-13 17:28:24.876180,0.0,0.0,0.016438519582152367,0.0,0.0,0.0,0.0011916179209947586,0.008894686587154865,0.0001556555653223768,Generated Data
2024-05-13 17:28:24.926207,0.0,0.0,0.008223317563533783,0.0,0.0,0.0,0.0011332693975418806,0.009700643830001354,0.00041844978113658726,Generated Data
2024-05-13 17:28:24.976236,0.0,0.0,1.603058987207149e-17,0.0,0.0,0.0,0.0012860160786658525,0.009601181373000145,0.00014578166883438826,Generated Data
2024-05-13 17:28:25.026270,-0.0,0.0,-0.008223317563533783,0.0,0.0,0.0,0.001693070400506258,0.010132862254977226,0.0004965988919138908,Generated Data
2024-05-13 17:28:25.076296,-0.0,0.0,-0.016438519582152367,0.0,0.0,0.0,0.0020425445400178432,0.01091042347252369,0.00032251025550067425,Generated Data
2024-05-13 17:28:25.126328,-0.0,0.0,-0.02463749796152115,0.0,0.0,0.0,0.001935066538862884,0.01149666029959917,0.0005052374326623976,Generated Data
2024-05-13 17:28:25.176364,-0.0,0.0,-0.03281216323375702,0.0,0.0,0.0,0.0017949731554836035,0.011301013641059399,0.0006338604725897312,Generated Data
2024-05-13 17:28:25.226394,-0.0,0.0,-0.04095444828271866,0.0,0.0,0.0,0.0022848411463201046,0.01186210848391056,0.0002881907857954502,Generated Data
2024-05-13 17:28:25.276372,-0.0,0.0,-0.049056313931941986,0.0,0.0,0.0,0.0013646027073264122,0.011910706758499146,0.0005044090212322772,Generated Data
2024-05-13 17:28:25.326401,-0.0,0.0,-0.0571097657084465,0.0,0.0,0.0,0.0020282266195863485,0.012451590038836002,0.0005892844637855887,Generated Data
2024-05-13 17:28:25.376435,-0.0,0.0,-0.06510686129331589,0.0,0.0,0.0,0.0022995653562247753,0.012188990600407124,-0.0001327183417743072,Generated Data
2024-05-13 17:28:25.426473,-0.0,0.0,-0.0730397030711174,0.0,0.0,0.0,0.00267979153431952,0.011264660395681858,-0.003246904816478491,Generated Data
2024-05-13 17:28:25.476504,-0.0,0.0,-0.08090046048164368,0.0,0.0,0.0,0.002955751260742545,0.010433184914290905,-0.009886042214930058,Generated Data
2024-05-13 17:28:25.526531,-0.0,0.0,-0.08868137747049332,0.0,0.0,0.0,0.0031354189850389957,0.00998262781649828,-0.017126327380537987,Generated Data
2024-05-13 17:28:25.576562,-0.0,0.0,-0.09637477993965149,0.0,0.0,0.0,0.0034331113565713167,0.00900376494973898,-0.027648191899061203,Generated Data
2024-05-13 17:28:25.626596,-0.0,0.0,-0.10397307574748993,0.0,0.0,0.0,0.0035528328735381365,0.008745829574763775,-0.03755800426006317,Generated Data
2024-05-13 17:28:25.676625,-0.0,0.0,-0.11146875470876694,0.0,0.0,0.0,0.0036793111357837915,0.007094210013747215,-0.05034337937831879,Generated Data
2024-05-13 17:28:25.726655,-0.0,0.0,-0.11885443329811096,0.0,0.0,0.0,0.0031730548944324255,0.005630209110677242,-0.06162833049893379,Generated Data
2024-05-13 17:28:25.776667,-0.0,0.0,-0.12612281739711761,0.0,0.0,0.0,0.0027477957773953676,0.004592913668602705,-0.07270494103431702,Generated Data
2024-05-13 17:28:25.826696,-0.0,0.0,-0.13326673209667206,0.0,0.0,0.0,0.002285278867930174,0.0037561082281172276,-0.08283024281263351,Generated Data
2024-05-13 17:28:25.876252,-0.0,0.0,-0.1402791291475296,0.0,0.0,0.0,0.001768843736499548,0.0025782152079045773,-0.09231386333703995,Generated Data
2024-05-13 17:28:25.926289,-0.0,0.0,-0.1471530795097351,0.0,0.0,0.0,0.0017926953732967377,0.002338147023692727,-0.10113349556922913,Generated Data
2024-05-13 17:28:25.976319,-0.0,0.0,-0.15388181805610657,0.0,0.0,0.0,0.0013942832592874765,0.001886526239104569,-0.10924115777015686,Generated Data
2024-05-13 17:28:26.026321,-0.0,0.0,-0.16045869886875153,0.0,0.0,0.0,0.0014909942401573062,0.0015803254209458828,-0.11811908334493637,Generated Data
2024-05-13 17:28:26.076350,-0.0,0.0,-0.16687721014022827,0.0,0.0,0.0,0.0011793291196227074,0.001281672972254455,-0.12542665004730225,Generated Data
2024-05-13 17:28:26.126369,-0.0,0.0,-0.1731310486793518,0.0,0.0,0.0,0.0009215082391165197,0.0011817105114459991,-0.1338990181684494,Generated Data
2024-05-13 17:28:26.176409,-0.0,0.0,-0.1792140156030655,0.0,0.0,0.0,0.0007731267833150923,0.001060854527167976,-0.14056500792503357,Generated Data
2024-05-13 17:28:26.226439,-0.0,0.0,-0.1851201206445694,0.0,0.0,0.0,0.0007816494908183813,0.0008658678852953017,-0.1483847200870514,Generated Data
