Time,Roll (rad),Pitch (rad),Yaw (rad),Heave,Sway,Surge,fkRoll (deg),fkPitch (deg),fkYaw (deg)
2023-10-30 17:08:00.098309,0.10471975803375244,0.0,0.0,0.0,0.0,0.0,-0.000292484910460189,-0.0002857766521628946,-0.00042238261085003614,Generated Data
2023-10-30 17:08:00.148339,0.10466808080673218,0.006578654050827026,0.0,0.0,0.0,0.0,-0.000292484910460189,-0.0002857766521628946,-0.00042238261085003614,Generated Data
2023-10-30 17:08:00.198371,0.10451311618089676,0.013150815851986408,0.0,0.0,0.0,0.0,-0.000292484910460189,-0.0002857766521628946,-0.00042238261085003614,Generated Data
2023-10-30 17:08:00.248398,0.10425500571727753,0.01970999874174595,0.0,0.0,0.0,0.0,-0.000292484910460189,-0.0002857766521628946,-0.00042238261085003614,Generated Data
2023-10-30 17:08:00.298428,0.10389401018619537,0.026249730959534645,0.0,0.0,0.0,0.0,-0.000292484910460189,-0.0002857766521628946,-0.00042238261085003614,Generated Data
2023-10-30 17:08:00.348457,0.10343047976493835,0.032763559371232986,0.0,0.0,0.0,0.0,0.0023420846555382013,0.0010782926110550761,-0.000593359291087836,Generated Data
2023-10-30 17:08:00.398488,0.10286488384008408,0.03924505040049553,0.0,0.0,0.0,0.0,0.008437324315309525,0.004170915111899376,-0.0007927287952043116,Generated Data
2023-10-30 17:08:00.448517,0.10219776630401611,0.04568781331181526,0.0,0.0,0.0,0.0,0.014549115672707558,0.007723348215222359,-0.00087069469736889,Generated Data
2023-10-30 17:08:00.498665,0.10142979025840759,0.05208548903465271,0.0,0.0,0.0,0.0,0.020875122398138046,0.011015720665454865,-0.0011335470480844378,Generated Data
2023-10-30 17:08:00.548803,0.10056172311306,0.05843175947666168,0.0,0.0,0.0,0.0,0.027995621785521507,0.015091191977262497,-0.0010392238618806005,Generated Data
2023-10-30 17:08:00.598834,0.09959440678358078,0.06472036987543106,0.0,0.0,0.0,0.0,0.03360069915652275,0.018234126269817352,-0.0009150004480034113,Generated Data
2023-10-30 17:08:00.648864,0.09852880239486694,0.07094510644674301,0.0,0.0,0.0,0.0,0.04036835953593254,0.022250426933169365,-0.0008034748025238514,Generated Data
2023-10-30 17:08:00.698893,0.09736596792936325,0.07709982246160507,0.0,0.0,0.0,0.0,0.04561144486069679,0.025817932561039925,-0.0002866447903215885,Generated Data
2023-10-30 17:08:00.748923,0.09610704332590103,0.08317846059799194,0.0,0.0,0.0,0.0,0.05079986900091171,0.030519604682922363,0.00042095297249034047,Generated Data
2023-10-30 17:08:00.798953,0.09475326538085938,0.08917500823736191,0.0,0.0,0.0,0.0,0.05450856313109398,0.03502808138728142,0.0009835344972088933,Generated Data
2023-10-30 17:08:00.848982,0.09330598264932632,0.09508354961872101,0.0,0.0,0.0,0.0,0.058077290654182434,0.04098788648843765,0.0014220095472410321,Generated Data
2023-10-30 17:08:00.899012,0.09176661819219589,0.10089825093746185,0.0,0.0,0.0,0.0,0.061277590692043304,0.04683666676282883,0.0017750305123627186,Generated Data
2023-10-30 17:08:00.948366,0.09013669192790985,0.10661338269710541,0.0,0.0,0.0,0.0,0.06443709135055542,0.05358484759926796,0.002228645607829094,Generated Data
2023-10-30 17:08:00.998395,0.08841781318187714,0.1122233048081398,0.0,0.0,0.0,0.0,0.0670781284570694,0.06042145937681198,0.0027988734655082226,Generated Data
2023-10-30 17:08:01.048426,0.08661167323589325,0.11772246658802032,0.0,0.0,0.0,0.0,0.06975056231021881,0.06795738637447357,0.0028836082201451063,Generated Data
2023-10-30 17:08:01.098454,0.08472006022930145,0.12310545891523361,0.0,0.0,0.0,0.0,0.07207202166318893,0.07570799440145493,0.002654506592079997,Generated Data
2023-10-30 17:08:01.148486,0.08274483680725098,0.12836694717407227,0.0,0.0,0.0,0.0,0.07476485520601273,0.08384914696216583,0.002744041383266449,Generated Data
2023-10-30 17:08:01.198617,0.08068795502185822,0.13350176811218262,0.0,0.0,0.0,0.0,0.07720343768596649,0.0921211913228035,0.002698696916922927,Generated Data
2023-10-30 17:08:01.248646,0.07855144888162613,0.13850483298301697,0.0,0.0,0.0,0.0,0.07831937819719315,0.09991723299026489,0.002154573565348983,Generated Data
2023-10-30 17:08:01.298791,0.07633741945028305,0.14337120950222015,0.0,0.0,0.0,0.0,0.07903268933296204,0.10863258689641953,0.001583689241670072,Generated Data
2023-10-30 17:08:01.348822,0.07404804974794388,0.14809609949588776,0.0,0.0,0.0,0.0,0.07895148545503616,0.11467807739973068,0.001493273419328034,Generated Data
2023-10-30 17:08:01.398851,0.07168560475111008,0.1526748389005661,0.0,0.0,0.0,0.0,0.07834674417972565,0.12147324532270432,0.0010619210079312325,Generated Data
2023-10-30 17:08:01.448881,0.06925241649150848,0.15710289776325226,0.0,0.0,0.0,0.0,0.07744987308979034,0.12687328457832336,0.0008308013202622533,Generated Data
2023-10-30 17:08:01.498910,0.06675088405609131,0.16137591004371643,0.0,0.0,0.0,0.0,0.07590918242931366,0.13325920701026917,0.0005490201292559505,Generated Data
2023-10-30 17:08:01.548939,0.06418347358703613,0.16548967361450195,0.0,0.0,0.0,0.0,0.07440607249736786,0.13807709515094757,0.00042193502304144204,Generated Data
2023-10-30 17:08:01.598967,0.061552729457616806,0.1694401204586029,0.0,0.0,0.0,0.0,0.0724131315946579,0.14395473897457123,0.00047709402861073613,Generated Data
2023-10-30 17:08:01.648998,0.05886123329401016,0.1732233464717865,0.0,0.0,0.0,0.0,0.07047727704048157,0.14870063960552216,0.000311065639834851,Generated Data
2023-10-30 17:08:01.699152,0.0561116524040699,0.17683562636375427,0.0,0.0,0.0,0.0,0.06826518476009369,0.1532856523990631,0.00025018269661813974,Generated Data
2023-10-30 17:08:01.749181,0.053306691348552704,0.1802733838558197,0.0,0.0,0.0,0.0,0.06584357470273972,0.1579262763261795,0.000174720844370313,Generated Data
2023-10-30 17:08:01.799211,0.050449125468730927,0.18353323638439178,0.0,0.0,0.0,0.0,0.06360062956809998,0.16227024793624878,0.00012618520122487098,Generated Data
2023-10-30 17:08:01.849240,0.047541774809360504,0.18661196529865265,0.0,0.0,0.0,0.0,0.06130446121096611,0.16639570891857147,6.515025597764179e-05,Generated Data
2023-10-30 17:08:01.899470,0.044587504118680954,0.18950653076171875,0.0,0.0,0.0,0.0,0.058951690793037415,0.17030766606330872,-7.171907782321796e-05,Generated Data
2023-10-30 17:08:01.948502,0.04158923029899597,0.19221408665180206,0.0,0.0,0.0,0.0,0.056535255163908005,0.17414610087871552,-0.0001299818541156128,Generated Data
2023-10-30 17:08:01.998532,0.038549911230802536,0.1947319358587265,0.0,0.0,0.0,0.0,0.054066434502601624,0.1777905970811844,0.00016670598415657878,Generated Data
2023-10-30 17:08:02.048562,0.035472553223371506,0.1970576047897339,0.0,0.0,0.0,0.0,0.05138544365763664,0.1811523735523224,0.0001474737364333123,Generated Data
2023-10-30 17:08:02.098591,0.03236018493771553,0.19918881356716156,0.0,0.0,0.0,0.0,0.04857398197054863,0.18432147800922394,0.000149468905874528,Generated Data
2023-10-30 17:08:02.148621,0.02921587973833084,0.20112344622612,0.0,0.0,0.0,0.0,0.04591629281640053,0.1871088594198227,0.00022361949959304184,Generated Data
2023-10-30 17:08:02.198649,0.026042744517326355,0.20285958051681519,0.0,0.0,0.0,0.0,0.04291047900915146,0.18989823758602142,0.00015478879504371434,Generated Data
2023-10-30 17:08:02.248678,0.02284390665590763,0.20439553260803223,0.0,0.0,0.0,0.0,0.03959978371858597,0.19274257123470306,0.0002704699581954628,Generated Data
2023-10-30 17:08:02.298709,0.019622525200247765,0.20572976768016815,0.0,0.0,0.0,0.0,0.036856409162282944,0.19480766355991364,0.0002389832807239145,Generated Data
2023-10-30 17:08:02.348751,0.016381779685616493,0.2068609595298767,0.0,0.0,0.0,0.0,0.033486075699329376,0.19709818065166473,0.00014605930482503027,Generated Data
2023-10-30 17:08:02.398780,0.013124865479767323,0.20778802037239075,0.0,0.0,0.0,0.0,0.03066851943731308,0.19887149333953857,9.504109038971364e-05,Generated Data
2023-10-30 17:08:02.448784,0.009854999370872974,0.20851001143455505,0.0,0.0,0.0,0.0,0.027247486636042595,0.20075467228889465,0.00019594019977375865,Generated Data
2023-10-30 17:08:02.498834,0.006575407925993204,0.20902623236179352,0.0,0.0,0.0,0.0,0.024322811514139175,0.20219798386096954,0.00025406546774320304,Generated Data
2023-10-30 17:08:02.548874,0.003289327025413513,0.20933616161346436,0.0,0.0,0.0,0.0,0.020757317543029785,0.20372146368026733,0.0002172467648051679,Generated Data
2023-10-30 17:08:02.599004,6.412235452520229e-18,0.20943951606750488,0.0,0.0,0.0,0.0,0.017561370506882668,0.20485959947109222,0.00022175510821398348,Generated Data
2023-10-30 17:08:02.649043,-0.003289327025413513,0.20933616161346436,0.0,0.0,0.0,0.0,0.0143183134496212,0.2056838423013687,0.00015315579366870224,Generated Data
2023-10-30 17:08:02.699091,-0.006575407925993204,0.20902623236179352,0.0,0.0,0.0,0.0,0.010928355157375336,0.20657317340373993,0.00021150340035092086,Generated Data
2023-10-30 17:08:02.749092,-0.009854999370872974,0.20851001143455505,0.0,0.0,0.0,0.0,0.007701486349105835,0.2071932852268219,0.0002161371667170897,Generated Data
2023-10-30 17:08:02.799126,-0.013124865479767323,0.20778802037239075,0.0,0.0,0.0,0.0,0.004479874391108751,0.20763574540615082,0.0001455697201890871,Generated Data
2023-10-30 17:08:02.849131,-0.016381779685616493,0.2068609595298767,0.0,0.0,0.0,0.0,0.001817677402868867,0.2078944444656372,-4.7114848712226376e-05,Generated Data
2023-10-30 17:08:02.899161,-0.019622525200247765,0.20572976768016815,0.0,0.0,0.0,0.0,-0.0013810781529173255,0.20796793699264526,-0.00017551616474520415,Generated Data
2023-10-30 17:08:02.949191,-0.02284390665590763,0.20439553260803223,0.0,0.0,0.0,0.0,-0.004607098642736673,0.20771420001983643,-0.0002544329036027193,Generated Data
2023-10-30 17:08:02.999233,-0.026042744517326355,0.20285958051681519,0.0,0.0,0.0,0.0,-0.007906624116003513,0.20730379223823547,-0.000295540492516011,Generated Data
2023-10-30 17:08:03.049249,-0.02921587973833084,0.20112344622612,0.0,0.0,0.0,0.0,-0.01115381345152855,0.20661383867263794,-0.00017577674589119852,Generated Data
2023-10-30 17:08:03.099267,-0.03236018493771553,0.19918881356716156,0.0,0.0,0.0,0.0,-0.014360116794705391,0.20584070682525635,-0.0001361778558930382,Generated Data
2023-10-30 17:08:03.148399,-0.035472553223371506,0.1970576047897339,0.0,0.0,0.0,0.0,-0.017712505534291267,0.204884871840477,-0.00012618704931810498,Generated Data
